"","x"
"1","Aaron Levie"
"2","Aaron Leviea"
"3","About Charles"
"4","Adam Goldstein"
"5","Adam Nash"
"6","Adam Zoia"
"7","Adirek Sripratak"
"8","Adrian Adams"
"9","Ajaypal Banga"
"10","Akio Toyoda"
"11","Akio Watanabe"
"12","Alaa  Karam Allah"
"13","Alaa Karam"
"14","Alan G. Lafley "
"15","Alan Joyce"
"16","Alan Mulally"
"17","Alan Mulallya"
"18","Alan Mulallys"
"19","Albrecht"
"20","Alcoa Inc"
"21","Aleksey Miller"
"22","Alex Algard"
"23","Alexander Medvedev"
"24","Alexandra Damsker"
"25","Alexei Miller"
"26","Allan Mulally"
"27","Allen"
"28","Allen Questrom"
"29","Amos"
"30","Amy Pascal"
"31","Anand Shah"
"32","Anatoly Kurmanaev"
"33","Anders Gustafsson"
"34","Andersen"
"35","Andrei Kostin"
"36","Andrew Heffernan"
"37","Andrew Heiberger"
"38","Andrew Liveris"
"39","Andrew Mackenzie"
"40","Andrew Mason"
"41","Andrew Witty"
"42","Andy Grove"
"43","Andy Marsh"
"44","Andy Mooney"
"45","Andy Russell"
"46","Anegla Ahrendts"
"47","Angela Ahrendts"
"48","Angelo Mozillo"
"49","Angelo Mozilo"
"50","Anna Lundberg"
"51","Anne Moore"
"52","Anshu Jain"
"53","Anthony ""Tony"" Thompson"
"54","Anthony Jenkins"
"55","Anthony Scaramucci"
"56","Antonio Horta"
"57","Antonio Horta Osorio"
"58","Antony Jenkins"
"59","Apu Gupta"
"60","Aquila"
"61","Ari Reichentala"
"62","Arie Belldegrun"
"63","Armstrong"
"64","Arne Sorenson"
"65","Art Levinson"
"66","Arthur Ta"
"67","Aubrety McClendon"
"68","Aubrey Mc"
"69","Aubrey McClendon"
"70","Autumn Radtke"
"71","Autumn Radtkea"
"72","Averell Mortimer"
"73","Avi Reichental"
"74","Avishai Abrahami"
"75","Azeem Azhar"
"76","Barrington"
"77","Barry Goldwater Jr."
"78","Barry Norris"
"79","Barry O'Leary"
"80","Barry Silbert"
"81","Ben Arnold"
"82","Ben Nelson"
"83","Ben Uretsky"
"84","Ben van Beurden"
"85","Ben Verwaayen"
"86","Benioff"
"87","Bernard Arnault"
"88","Bernard Madoff"
"89","Bernard Poussot"
"90","Bernardo Hees"
"91","Bernd Pischetsrieder"
"92","Bertolini"
"93","Bewkes"
"94","Bezos"
"95","Biderman"
"96","Bill  Ackman"
"97","Bill  Gates"
"98","Bill  Gross"
"99","Bill  Simon"
"100","Bill Chaaban"
"101","Bill Gates"
"102","Bill Gross"
"103","Bill Johnson"
"104","Bill Lovette"
"105","Bill Mc"
"106","Bill McDermott"
"107","Bill Mills"
"108","Bill Ruprecht"
"109","Bill Stiritz"
"110","Bjorn Kjos"
"111","Blake"
"112","Bob Benmosche"
"113","Bob Benmosches"
"114","Bob Bradway"
"115","Bob Calderoni"
"116","Bob DeRodes"
"117","Bob Diamond"
"118","Bob Diamonda"
"119","Bob Greifeld"
"120","Bob Iger"
"121","Bob Mac"
