"","x"
"1","20th Century Fox"
"2","2100 Xenon"
"3","AbbVie"
"4","ABC"
"5","Abel Advisors"
"6","Abengoa"
"7","Abercrombie"
"8","ABERCROMBIE"
"9","Abercrombie and Fitch"
"10","Aberdeen Asset Management"
"11","Abernathy Group"
"12","AC Propulsion"
"13","ACA Financial Guaranty Corp"
"14","Actavis"
"15","Actavis Inc"
"16","Advanced Technologies Inc"
"17","Advent International"
"18","Advisor Ahead"
"19","Advisor Inc"
"20","AdvisorShares"
"21","AEGIS FinServ Corp."
"22","AeroMobil"
"23","Aerospace Corporation"
"24","Aetna"
"25","AFR Telstra"
"26","African Broadcasting Corporation"
"27","African National Co"
"28","Agco Corp"
"29","Agile Property Holdings"
"30","Agricultural Bank"
"31","Aid Corp"
"32","AIG"
"33","AIG "
"34","Air Lease"
"35","Air Traffic Co"
"36","AirAsia"
"37","Airbnb"
"38","AirBNB"
"39","Airbus"
"40","Airbus Group"
"41","AiresBuenos"
"42","Airlines Corporation"
"43","Airways Corporation"
"44","Airways Group"
"45","AK Steel Corp"
"46","Alaska Air Group"
"47","Alcatel"
"48","Alcatel-Lucent"
"49","Alcoa"
"50","Aldi Sud"
"51","Alibaba"
"52","Alibaba Group"
"53","Alibaba Group Holding Ltd"
"54","Alibaba Pictures Group"
"55","Allegheny Technologies"
"56","Allergan"
"57","Alliance Grain Traders"
"58","Allianz"
"59","Ally Financial"
"60","Ally Financial Inc"
"61","Alpha Pro Tech"
"62","Alstom"
"63","Altagamma"
"64","Altarum"
"65","Altegris"
"66","Alternative Banking Group"
"67","Altis"
"68","Alvarez General Co"
"69","Amadeus"
"70","Amaya Gaming Group"
"71","Amazon"
"72","Amazon Inc"
"73","America Corp"
"74","America Corporation"
"75","American Airlines"
"76","American Apparel"
"77","American Apparel Inc"
"78","American Bank"
"79","American Bankers Association"
"80","American Bar Association"
"81","American Eagle"
"82","American Economic Association"
"83","American Express Co"
"84","American Express Company"
"85","American International Group"
"86","American Realty Capital"
"87","American Staffing Association"
"88","Amex"
"89","Amgen Inc"
"90","Amro Group"
"91","AMT"
"92","Anaplan"
"93","Andersons Inc"
"94","Andreessen Horowitz"
"95","AngelHack"
"96","Angelo Mozilo Former Countrywide"
"97","Anglo Irish Bank"
"98","ANXBTC"
"99","AOL"
"100","AON"
"101","Apollo"
"102","Apollo Global Management"
"103","Apollo Group"
"104","Appaloosa Management"
"105","Appaloosa Management LP"
"106","Apple"
"107","Apria Healthcare Group"
"108","Aqua"
"109","Arab Bank"
"110","Arcandor Middelhoff"
"111","Archer Limited"
"112","Argentinas Central Bank"
"113","Argonaut Capital Partners"
"114","Argonne"
"115","Ariba"
"116","Arista Networks"
"117","Arizona"
"118","Armani"
"119","Army Corp"
"120","Arton Capital"
"121","As Co"
"122","As Deutsche Bank"
"123","As Personal Co"
