"","finalPercentages"
"1","-0.00025"
"2","-0.1 percent"
"3","-0.19 percent"
"4","-0.3 percent"
"5","-0.4"
"6","-0.6"
"7","-0.60%"
"8","-0.80%"
"9","-0.9"
"10","-1.00%"
"11","-1.70%"
"12","-2.80%"
"13","-2.90%"
"14","-20.00%"
"15","-3.61 percent"
"16","-4.00%"
"17","-5.10%"
"18","-54.00%"
"19","-58.00%"
"20","-6.00%"
"21","-6.40%"
"22","-66.00%"
"23","-69.00%"
"24","""_ percentage point"""
"25","""-.01%."""
"26","""-0.9%"""
"27","""(+3%)"""
"28","""(+86%)"""
"29","""(11.4%),"""
"30","""(20%),"""
"31","""~4.22%"""
"32","""0.0%"""
"33","""0.00-0.25%"""
"34","""0.15%,"""
"35","""0.17%."""
"36","""0.2 percent"""
"37","""0.2 percentage points"""
"38","""0.2%."""
"39","""0.3%."""
"40","""0.4 percent"""
"41","""0.4%,"""
"42","""0.4%."""
"43","""0.4%"""
"44","""0.6 percent"""
"45","""0.6%."""
"46","""0.7 percent (�1.3%)*"""
"47","""0.9%."""
"48","""1 percent"""
"49","""1 percentile point"""
"50","""1 to 2 percentage points"""
"51","""1-2 percentage point"""
"52","""1.24%"""
"53","""1.36%"""
"54","""1.4 percent (�0.8%)"""
"55","""1.5%"""
"56","""1.75%"""
"57","""1.8%"""
"58","""1%"""
"59","""10 percent"""
"60","""10.8 percent"""
"61","""11.3%."""
"62","""12%"""
"63","""13.3%,"""
"64","""13.9 percent."""
"65","""14.0-percent"""
"66","""15 percent"""
"67","""17.4 percent"""
"68","""17.85%)"""
"69","""19.4 percent"""
"70","""19%."""
"71","""2 percent"""
"72","""2 percentile points"""
"73","""2.02 percent"""
"74","""2.3 percent"""
"75","""2.6%"""
"76","""2.7%,"""
"77","""2%-2_%."""
"78","""2%"""
"79","""20-32%"""
"80","""200%"""
"81","""25 percent."""
"82","""25%?"""
"83","""26 percent"""
"84","""3 percent"""
"85","""3.0 percent (�3.0%)*"""
"86","""3.8 percent"""
"87","""300 percent"""
"88","""31 percent"""
"89","""31.8 percent"""
"90","""32.32%."""
"91","""35 percent"""
"92","""39 percent,"""
"93","""4.1 percent"""
"94","""4.2 percent,"""
"95","""4.3-percent"""
"96","""4.3%)."""
"97","""4.58%."""""
"98","""4%"""
"99","""40-60%."""
"100","""40%"""
"101","""49 percent"""
"102","""5.5%"""
"103","""5%."""
"104","""57 percent"""
"105","""6.6%"""
"106","""6.8 percent"""
"107","""60%"""
"108","""68 percent"""
"109","""70 percent"""
"110","""70%"""
"111","""75 percent"""
"112","""8 percent"""
"113","""8%,"""
"114","""88%"""
"115","""98-100%"""
"116","""Fifty percent"""
"117","""Seventeen percent"""
"118","""Twenty-four percent"""
"119","0"
"120","0 percent"
"121","0-2 percent"
"122","0.0 percent"
"123","0.00%"
"124","0.001"
"125","0.001 percent"
"126","0.001387015"
"127","0.002 percent"
"128","0.005 percent"
"129","0.007 percent"
"130","0.008"
"131","0.01"
"132","0.01 percent"
"133","0.01%"
"134","0.011"
"135","0.02"
"136","0.02 percent"
"137","0.02 percent"
"138","0.02%"
"139","0.03"
"140","0.03 percent"
"141","0.03%"
"142","0.04"
"143","0.04 percent"
"144","0.04 percent"
"145","0.04%"
"146","0.05"
"147","0.05 percent"
"148","0.055 percent"
"149","0.06"
"150","0.06 percent"
"151","0.06%"
"152","0.07"
"153","0.07 percent"
"154","0.07%"
"155","0.08"
"156","0.08 percent"
"157","0.08%"
"158","0.084 percent"
"159","0.09"
"160","0.09 percent"
"161","0.09 percent"
"162","0.09%"
"163","0.0945 percent"
"164","0.1"
"165","0.1 percent"
"166","0.1 percent"
"167","0.10 percent"
"168","0.10 percent"
"169","0.10%"
"170","0.11"
"171","0.11 percent"
"172","0.11%"
"173","0.12"
"174","0.12 percent"
"175","0.12%"
"176","0.13"
"177","0.13 percent"
"178","0.13%"
"179","0.14"
"180","0.14 percent"
"181","0.14%"
"182","0.15"
"183","0.15 percent"
"184","0.16"
"185","0.16 percent"
"186","0.16%"
"187","0.169 percent"
"188","0.17"
"189","0.17 percent"
"190","0.17%"
"191","0.171 percent"
"192","0.172 percent"
"193","0.18"
"194","0.18 percent"
"195","0.18%"
"196","0.19"
"197","0.19 percent"
"198","0.19%"
"199","0.2"
"200","0.2 percent"
"201","0.2 percentage"
"202","0.20 percent"
"203","0.20%"
"204","0.21"
"205","0.21 percent"
"206","0.21%"
"207","0.22"
"208","0.22 percent"
"209","0.22%"
"210","0.23"
"211","0.23 percent"
"212","0.23%"
"213","0.24"
"214","0.24 percent"
"215","0.24%"
"216","0.25"
"217","0.25 percent"
"218","0.26"
"219","0.26%"
"220","0.27"
"221","0.27 percent"
"222","0.27%"
"223","0.28"
"224","0.28 percent"
"225","0.28%"
"226","0.29"
"227","0.29 percent"
"228","0.29%"
"229","0.3"
"230","0.3 percent"
"231","0.3 percent"
"232","0.30 percent"
"233","0.30%"
"234","0.31"
"235","0.31 percent"
"236","0.31%"
"237","0.315 percent"
"238","0.32"
"239","0.32 percent"
"240","0.32%"
"241","0.33"
"242","0.33 percent"
"243","0.33%"
"244","0.34"
"245","0.34 percent"
"246","0.34%"
"247","0.35"
"248","0.35 percent"
"249","0.35%"
"250","0.36"
"251","0.36 percent"
"252","0.36%"
"253","0.37"
"254","0.37%"
"255","0.375"
"256","0.38"
"257","0.38 percent"
"258","0.38%"
"259","0.385 percent"
"260","0.39"
"261","0.39%"
"262","0.4"
"263","0.4 percent"
"264","0.4 percentage"
"265","0.40 percent"
"266","0.40%"
"267","0.41"
"268","0.41 percent"
"269","0.41%"
"270","0.4159 percent"
"271","0.42"
"272","0.42 percent"
"273","0.42%"
"274","0.425 percent"
"275","0.43"
"276","0.43 percent"
"277","0.43%"
"278","0.44"
"279","0.44 percent"
"280","0.44%"
"281","0.45"
"282","0.45 percent"
"283","0.45%"
"284","0.46"
"285","0.46 percent"
"286","0.46%"
"287","0.47"
"288","0.47 percent"
"289","0.47%"
"290","0.48"
"291","0.48 percent"
"292","0.48%"
"293","0.480 percent"
"294","0.49"
"295","0.49 percent"
"296","0.49%"
"297","0.5"
"298","0.5 percent"
"299","0.50 percent"
"300","0.50%"
"301","0.500 percent"
"302","0.51"
"303","0.51 percent"
"304","0.51%"
"305","0.515 percent"
"306","0.52"
"307","0.52 percent"
"308","0.52%"
"309","0.53"
"310","0.53 percent"
"311","0.534"
"312","0.534 percent"
"313","0.54 percent"
"314","0.54%"
"315","0.55"
"316","0.55 percent"
"317","0.55%"
"318","0.56"
"319","0.56%"
"320","0.57"
"321","0.57 percent"
"322","0.57%"
"323","0.58"
"324","0.58 percent"
"325","0.59"
"326","0.59 percent"
"327","0.59%"
"328","0.6"
"329","0.6 percent"
"330","0.6 percent"
"331","0.60 percent"
"332","0.60%"
"333","0.61"
"334","0.61 percent"
"335","0.61 percentage"
"336","0.62"
"337","0.62 percent"
"338","0.62%"
"339","0.63"
"340","0.63 percent"
"341","0.63%"
"342","0.64"
"343","0.64 percent"
"344","0.64%"
"345","0.65"
"346","0.65 percent"
"347","0.65%"
"348","0.66"
"349","0.66 percent"
"350","0.66%"
"351","0.6603"
"352","0.67"
"353","0.67 percent"
"354","0.67%"
"355","0.68"
"356","0.68%"
"357","0.69"
"358","0.69 percent"
"359","0.69%"
"360","0.7"
"361","0.7 percent"
"362","0.7 percent"
"363","0.70 percent"
"364","0.709 percent"
"365","0.71"
"366","0.71 percent"
"367","0.71%"
"368","0.719 percent"
"369","0.72"
"370","0.72%"
"371","0.73"
"372","0.73 percent"
"373","0.74"
"374","0.74 percent"
"375","0.74%"
"376","0.75"
"377","0.75 percent"
"378","0.76"
"379","0.76 percent"
"380","0.76%"
"381","0.77"
"382","0.77 percent"
"383","0.77%"
"384","0.78"
"385","0.78%"
"386","0.79"
"387","0.79 percent"
"388","0.79%"
"389","0.8"
"390","0.8 percent"
"391","0.80%"
"392","0.81 percent"
"393","0.82 percent"
"394","0.82 percentage"
"395","0.82%"
"396","0.825"
"397","0.83 percent"
"398","0.83%"
"399","0.84"
"400","0.84 percent"
"401","0.84%"
"402","0.85"
"403","0.85 percent"
"404","0.85%"
"405","0.86 percent"
"406","0.86%"
"407","0.87 percent"
"408","0.88"
"409","0.88 percent"
"410","0.88%"
"411","0.9"
"412","0.9 percent"
"413","0.9 percent"
"414","0.91 percent"
"415","0.915 percent"
"416","0.92"
"417","0.92 percent"
"418","0.92%"
"419","0.93"
"420","0.93 percent"
"421","0.93%"
"422","0.939 percent"
"423","0.94"
"424","0.94%"
"425","0.943 percent"
"426","0.95"
"427","0.95 percent"
"428","0.95%"
"429","0.96"
"430","0.97 percent"
"431","0.98"
"432","0.98%"
"433","0.99"
"434","0.99 percent"
"435","0%"
"436","01 percent"
"437","02%"
"438","05 percent"
"439","06 percent"
"440","1"
"441","1 percent"
"442","1 percent"
"443","1 percentage"
"444","1-2 percent"
"445","1-2%"
"446","1-3 percent"
"447","1-3%"
"448","1,000 percent"
"449","1,000%"
"450","1,142 percent"
"451","1,200 percent"
"452","1,400 percent"
"453","1.0 percent"
"454","1.00 percent"
"455","1.00E-04"
"456","1.00E+11"
"457","1.01 percent"
"458","1.02 percent"
"459","1.02%"
"460","1.03"
"461","1.03 percent"
"462","1.03%"
"463","1.04"
"464","1.04 percent"
"465","1.04%"
"466","1.05"
"467","1.05 percent"
"468","1.05%"
"469","1.06"
"470","1.06 percent"
"471","1.06%"
"472","1.069 percent"
"473","1.07 percent"
"474","1.08"
"475","1.08 percent"
"476","1.09 percent"
"477","1.09%"
"478","1.097 percent"
"479","1.1"
"480","1.1 percent"
"481","1.11"
"482","1.11 percent"
"483","1.12"
"484","1.12 percent"
"485","1.123"
"486","1.125 percent"
"487","1.13"
"488","1.13 percent"
"489","1.13%"
"490","1.15"
"491","1.15 percent"
"492","1.15%"
"493","1.16"
"494","1.16 percent"
"495","1.17 percent"
"496","1.17%"
"497","1.18 percent"
"498","1.182"
"499","1.2"
"500","1.2 percent"
"501","1.2 percent"
"502","1.21 percent"
"503","1.22 percent"
"504","1.23"
"505","1.23%"
"506","1.238 percent"
"507","1.24"
"508","1.24 percent"
"509","1.249 percent"
"510","1.25"
"511","1.25 percent"
"512","1.256"
"513","1.257"
"514","1.26"
"515","1.26 percent"
"516","1.26%"
"517","1.267"
"518","1.27"
"519","1.27 percent"
"520","1.27%"
"521","1.275 percent"
"522","1.28"
"523","1.28 percent"
"524","1.28%"
"525","1.29"
"526","1.29 percent"
"527","1.3"
"528","1.3 percent"
"529","1.3 percent"
"530","1.30 percent"
"531","1.31"
"532","1.32"
"533","1.32 percent"
"534","1.32%"
"535","1.33"
"536","1.33 percent"
"537","1.33%"
"538","1.34"
"539","1.34%"
"540","1.35"
"541","1.35 percent"
"542","1.36"
"543","1.365"
"544","1.37"
"545","1.37%"
"546","1.375 percent"
"547","1.38"
"548","1.38 percent"
"549","1.39"
"550","1.39 percent"
"551","1.39%"
"552","1.39E-05"
"553","1.4"
"554","1.4 percent"
"555","1.40%"
"556","1.41"
"557","1.42"
"558","1.42 percent"
"559","1.43"
"560","1.43 percent"
"561","1.43%"
"562","1.44 percent"
"563","1.45"
"564","1.45 percent"
"565","1.45%"
"566","1.46"
"567","1.47"
"568","1.47 percent"
"569","1.47%"
"570","1.48"
"571","1.484"
"572","1.49"
"573","1.49 percent"
"574","1.49%"
"575","1.5"
"576","1.5 percent"
"577","1.5 percentage"
"578","1.50 percent"
"579","1.51"
"580","1.52"
"581","1.52 percent"
"582","1.53"
"583","1.53 percent"
"584","1.54"
"585","1.54 percent"
"586","1.55"
"587","1.55 percent"
"588","1.55%"
"589","1.56"
"590","1.57 percent"
"591","1.57%"
"592","1.58"
"593","1.59"
"594","1.59 percent"
"595","1.6"
"596","1.6 percent"
"597","1.6 percent"
"598","1.61"
"599","1.61 percent"
"600","1.618"
"601","1.62 percent"
"602","1.63"
"603","1.63 percent"
"604","1.63%"
"605","1.64"
"606","1.65"
"607","1.65 percent"
"608","1.65%"
"609","1.66"
"610","1.66 percent"
"611","1.66%"
"612","1.67"
"613","1.67 percent"
"614","1.67%"
"615","1.68 percent"
"616","1.69"
"617","1.69 percent"
"618","1.69%"
"619","1.7"
"620","1.7 percent"
"621","1.7 percentage"
"622","1.70 percent"
"623","1.72"
"624","1.72%"
"625","1.73"
"626","1.74"
"627","1.74 percent"
"628","1.75"
"629","1.75 percent"
"630","1.75 percentage"
"631","1.76"
"632","1.76 percent"
"633","1.76%"
"634","1.77"
"635","1.78"
"636","1.79"
"637","1.79 percent"
"638","1.8"
"639","1.8 percent"
"640","1.8 percent"
"641","1.80 percent"
"642","1.81"
"643","1.8178"
"644","1.83"
"645","1.83 percent"
"646","1.83%"
"647","1.84 percent"
"648","1.85 percent"
"649","1.86"
"650","1.86 percent"
"651","1.86%"
"652","1.865 percent"
"653","1.87"
"654","1.88"
"655","1.88 percent"
"656","1.89"
"657","1.89 percent"
"658","1.89%"
"659","1.9"
"660","1.9 percent"
"661","1.90%"
"662","1.91"
"663","1.91 percent"
"664","1.92"
"665","1.92 percent"
"666","1.93"
"667","1.93 percent"
"668","1.94 percent"
"669","1.95"
"670","1.95 percent"
"671","1.95%"
"672","1.96"
"673","1.97"
"674","1.97 percent"
"675","1.98"
"676","1.98 percent"
"677","1.99 percent"
"678","1/2 percent"
"679","1/4 percent"
"680","1/4 percent"
"681","1%"
"682","10"
"683","10 percent"
"684","10 percent"
"685","10 percentage"
"686","10-11 percent"
"687","10-12 percent"
"688","10-12%"
"689","10-15 percent"
"690","10-15%"
"691","10-20 percent"
"692","10-20%"
"693","10‑15 percent"
"694","10–19%"
"695","10,000 percent"
"696","10.0 percent"
"697","10.0%"
"698","10.00%"
"699","10.1"
"700","10.1 percent"
"701","10.1%"
"702","10.14"
"703","10.16 percent"
"704","10.17"
"705","10.2"
"706","10.2 percent"
"707","10.2%"
"708","10.20%"
"709","10.25"
"710","10.25%"
"711","10.28"
"712","10.3"
"713","10.3 percent"
"714","10.3 percent"
"715","10.3%"
"716","10.30%"
"717","10.36 percent"
"718","10.37 percent"
"719","10.4"
"720","10.4 percent"
"721","10.4%"
"722","10.40 percent"
"723","10.40%"
"724","10.5"
"725","10.5 percent"
"726","10.50%"
"727","10.52"
"728","10.55 percent"
"729","10.6"
"730","10.6 percent"
"731","10.60%"
"732","10.61 percent"
"733","10.67"
"734","10.7"
"735","10.7 percent"
"736","10.7 percent"
"737","10.73 percent"
"738","10.75%"
"739","10.77"
"740","10.77 percent"
"741","10.8"
"742","10.8 percent"
"743","10.8%"
"744","10.80%"
"745","10.87"
"746","10.9"
"747","10.9 percent"
"748","10.90%"
"749","10%"
"750","100"
"751","100 percent"
"752","100.9"
"753","100%"
"754","1000"
"755","1000 percent"
"756","1000%"
"757","100000000000%"
"758","101"
"759","101 percent"
"760","101.4"
"761","101%"
"762","102"
"763","102.6"
"764","102.7"
"765","102%"
"766","103"
"767","103 percent"
"768","103%"
"769","104"
"770","104.2 percent"
"771","104%"
"772","105"
"773","105 percent"
"774","105%"
"775","106"
"776","106%"
"777","107"
"778","107%"
"779","108 percent"
"780","109%"
"781","11"
"782","11 percent"
"783","11-13 percent"
"784","11-33 percent"
"785","11.0 percent"
"786","11.0%"
"787","11.00%"
"788","11.04 percent"
"789","11.1"
"790","11.1 percent"
"791","11.1%"
"792","11.10%"
"793","11.2"
"794","11.2 percent"
"795","11.2%"
"796","11.20%"
"797","11.25 percent"
"798","11.3"
"799","11.3 percent"
"800","11.3%"
"801","11.30%"
"802","11.34"
"803","11.35 percent"
"804","11.38 percent"
"805","11.4"
"806","11.4 percent"
"807","11.4%"
"808","11.40%"
"809","11.42 percent"
"810","11.45 percent"
"811","11.47 percent"
"812","11.5"
"813","11.5 percent"
"814","11.50%"
"815","11.6"
"816","11.6 percent"
"817","11.6%"
"818","11.60%"
"819","11.62 percent"
"820","11.7"
"821","11.7 percent"
"822","11.7%"
"823","11.70%"
"824","11.75"
"825","11.8"
"826","11.8 percent"
"827","11.80%"
"828","11.82 percent"
"829","11.85 percent"
"830","11.89"
"831","11.9"
"832","11.9 percent"
"833","11.90%"
"834","11%"
"835","110"
"836","110 percent"
"837","110.4 percent"
"838","110.9"
"839","110%"
"840","111"
"841","111%"
"842","112"
"843","112%"
"844","114 percent"
"845","114%"
"846","1140"
"847","1140%"
"848","115"
"849","115 percent"
"850","115%"
"851","116"
"852","116%"
"853","117"
"854","117 percent"
"855","117%"
"856","118"
"857","118 percent"
"858","118%"
"859","119%"
"860","12"
"861","12 percent"
